text,label
Scale the sourdough loaf for 50 portions and list what's needed,scale_recipe
Double the pain au chocolat and list the ingredients too,scale_recipe
Why is checking dough temperature important during mixing?,general
Is there a problem with the hydration in the palmiers?,check_anomaly
I need the palmiers recipe for 500g,scale_recipe
Make a prep list for tart tatin production,build_indent
Can I get the pain au chocolat for 250g,scale_recipe
Scale the opera cake to 10 portions,scale_recipe
Why does palmiers dough need to rest before it's baked?,general
Multiply the Danish pastry recipe by 40,scale_recipe
I need to order ingredients for next week's kouign-amann class,build_indent
Make a prep list for kouign-amann production,build_indent
"Compile all the ingredients needed for macarons, eclairs, and palmiers",build_indent
Make a prep list for opera cake production,build_indent
I need this recipe for 50 students,scale_recipe
Validate the puff pastry ratios,check_anomaly
Order the ingredients for next week's class,build_indent
How many servings does a batch of banana tart produce?,find_recipe
What yield should I expect from the sourdough loaf recipe?,find_recipe
Check the viennoiserie dough recipe for ratio errors,check_anomaly
Review the tart tatin for any wrong ratios,check_anomaly
Double check for me -- do you need to sift powdered sugar before using it?,general
Build an indent sheet for today's session,build_indent
What's in a classic creme patissiere?,find_recipe
Validate the croissant ratios,check_anomaly
I need to order ingredients for next week's babka class,build_indent
Compile all the ingredients needed for the viennoiserie class,build_indent
Build an indent sheet for next month's bake,build_indent
Do we have a recipe for sourdough starter?,find_recipe
Can you double check the pate sucree recipe for errors?,check_anomaly
I need to order ingredients for next week's pain au chocolat class,build_indent
Give me the country loaf recipe,find_recipe
Scale the Danish pastry to 1500g each,scale_recipe
Create a shopping list for tomorrow's shift,build_indent
Validate the ganache ratios,check_anomaly
Can you double check the Danish pastry recipe for errors?,check_anomaly
Is there a problem with the hydration in the sourdough loaf?,check_anomaly
Build an indent sheet for Monday's bake,build_indent
Where's the recipe card for puff pastry?,find_recipe
Why do you fold laminated dough instead of just rolling it out flat?,general
Can I get the recipe for sourdough starter?,find_recipe
Show me a recipe that yields about 30 portions,find_recipe
What causes Danish pastry to turn out dense instead of light?,general
Put together a prep list for next month's batch,build_indent
Create a shopping list for next month's shift,build_indent
Create a shopping list for next week's bake,build_indent
Scale opera cake to 500g,scale_recipe
Show me the pain au levain recipe,find_recipe
Pull up the lemon meringue tart recipe,find_recipe
Check if the pate a choux recipe has any anomalies,check_anomaly
I'll need the pain au levain recipe made for 250g,scale_recipe
Build an indent sheet for the viennoiserie class,build_indent
