text,label
"Build an indent sheet for brioche, babka, and cinnamon rolls",build_indent
Give me the Danish pastry recipe,find_recipe
Triple the sourdough loaf batch,scale_recipe
I need to order ingredients for next week's sourdough starter class,build_indent
Generate a purchase list for financier,build_indent
Consolidate all ingredients for the tart tatin and financiers,build_indent
Check the financier recipe for ratio errors,check_anomaly
Multiply the pain au levain by 20 and give me the full ingredient list,scale_recipe
Where's the recipe card for viennoiserie dough?,find_recipe
Can you list what's in the sourdough loaf?,find_recipe
How does over-proofing affect the texture of an enriched dough?,general
Show me a recipe that yields about 100 portions,find_recipe
Halve the croissant recipe,scale_recipe
Give me the pate sucree recipe for 1000g,scale_recipe
Double the creme patissiere,scale_recipe
Make a prep list for opera cake production,build_indent
Make cinnamon rolls for 24 people,scale_recipe
Scale the tart tatin for 30 portions and list what's needed,scale_recipe
Generate a purchase list for pain au levain,build_indent
Triple the kouign-amann batch,scale_recipe
Is there a problem with the hydration in the babka?,check_anomaly
Adjust the ganache for 60 portions and show the recipe details,scale_recipe
List the ingredients in the banana tart recipe,find_recipe
Why is temperature control especially important when making kouign-amann?,general
Why does chocolate seize when water is added to it?,general
List out the ingredients for tart tatin,find_recipe
Make a prep list for viennoiserie dough production,build_indent
What goes into making sourdough loaf?,find_recipe
Flag any anomalies in the brioche recipe,check_anomaly
Why does brioche dough need to rest before it's baked?,general
Quadruple the viennoiserie dough,scale_recipe
List out the ingredients for palmiers,find_recipe
Validate the measurements in the sourdough starter,check_anomaly
Triple the sourdough starter batch and show me what ingredients I'll need,scale_recipe
"Build an indent sheet for macarons, eclairs, and palmiers",build_indent
Why do bakers rest opera cake dough in the fridge overnight?,general
Why do enriched doughs take longer to proof than lean doughs?,general
Multiply the choux pastry recipe by 24,scale_recipe
I need the pain au chocolat recipe for 1500g,scale_recipe
How do I make choux pastry?,find_recipe
Make the banana tart for 500g,scale_recipe
I need the ingredient list for ganache,find_recipe
Where's the recipe card for brioche?,find_recipe
Check the choux pastry recipe for ratio errors,check_anomaly
Why do bakers rest choux pastry dough in the fridge overnight?,general
Show me a recipe that yields about 20 portions,find_recipe
What's the right order to add wet and dry ingredients when mixing cake batter?,general
What does a typical production day look like at a pastry school?,general
What happens chemically if pain au levain dough is overmixed?,general
"Something feels off about the creme patissiere recipe, can you check it?",check_anomaly
What causes kouign-amann to turn out dense instead of light?,general
Show me a recipe that yields about 75 portions,find_recipe
What causes sourdough starter to turn out dense instead of light?,general
I need this recipe for 75 students,scale_recipe
I need the ingredient list for sourdough starter,find_recipe
Make a prep list for lemon meringue tart production,build_indent
Do we have a recipe for brioche?,find_recipe
What goes into making ganache?,find_recipe
What ingredients go into a pate sucree?,find_recipe
I need the opera cake recipe for 1000g,scale_recipe
Generate a purchase list for kouign-amann,build_indent
